Event_XLSX	Event_Table2	PS_datetime
Bolivia	Bolivia	2018-02-15 14:00
Ghana	Ghana	2018-09-19 10:03
Mekong	Cambodia	2018-08-04 3:05
Somalia	Somalia	2018-05-05 7:10
Spain	Spain	2019-09-18 10:30
USA	US-Kansas	2019-05-22 16:57
Colombia	Colombia	2018-08-24 14:25
Nigeria	Nigeria	2018-09-20 9:36
Paraguay	Paraguay	2018-10-31 13:31
Bangladesh	Bangladesh	2017-03-14 3:45
Florence	US-Carolina	2018-09-19 15:28
Nebraska	US-Nebraska	2017-09-29 14:30
NorthAL	US-Alabama	2019-05-25 16:10
RedRiverNorth	US-Dakota	2019-06-09 17:02
Nepal	Nepal	2017-08-24 4:18
Harvey	US-Texas	2017-08-31 4:17
LittleRock	US-Arkansas	2019-05-29 16:31
Tulsa	US-Oklahoma	2019-05-31 15:51
Uzbekistan	Uzbekistan	2020-05-10 6:18
