event	chip_id	selection_reason	current_workflow_matched	item_id	instrument	coverage_ratio	covers_chip	match_candidate_rank	reference_capture_timestamp	fetch_capture_timestamp	timedelta_hours	reference_fp	fetch_raster_fp	fetch_manifest_fp	match_diagnostics_fp
US-Alabama	NAL_14_30	current_matched	True	20190525_161148_100a	PS2	1.0		1	2019-05-25T16:10:00	2019-05-25T16:11:48.336175+00:00	0.03	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Alabama/PS/NAL_14_30.tif	/workspace/_outputs/US-Alabama/NAL_14_30/20190525_161148_100a.tif	/workspace/_outputs/US-Alabama/NAL_14_30/20190525_161148_100a.manifest.json	/workspace/_outputs/US-Alabama/NAL_14_30/match_diagnostics.json
US-Alabama	NAL_16_10	best_unmatched_attempt	False	20190527_164551_79_106a	PS2.SD	1.0		1	2019-05-25T16:10:00	2019-05-27T16:45:51.791940+00:00	48.598	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Alabama/PS/NAL_16_10.tif	/workspace/_outputs/US-Alabama/NAL_16_10/20190527_164551_79_106a.tif	/workspace/_outputs/US-Alabama/NAL_16_10/20190527_164551_79_106a.manifest.json	/workspace/_outputs/US-Alabama/NAL_16_10/match_diagnostics.json
US-Alabama	NAL_27_45	current_matched	True	20190525_160945_100e	PS2	1.0		1	2019-05-25T16:10:00	2019-05-25T16:09:45.625391+00:00	0.004	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Alabama/PS/NAL_27_45.tif	/workspace/_outputs/US-Alabama/NAL_27_45/20190525_160945_100e.tif	/workspace/_outputs/US-Alabama/NAL_27_45/20190525_160945_100e.manifest.json	/workspace/_outputs/US-Alabama/NAL_27_45/match_diagnostics.json
US-Alabama	NAL_31_29	current_matched	True	20190525_160937_100e	PS2	1.0		1	2019-05-25T16:10:00	2019-05-25T16:09:37.249365+00:00	0.006	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Alabama/PS/NAL_31_29.tif	/workspace/_outputs/US-Alabama/NAL_31_29/20190525_160937_100e.tif	/workspace/_outputs/US-Alabama/NAL_31_29/20190525_160937_100e.manifest.json	/workspace/_outputs/US-Alabama/NAL_31_29/match_diagnostics.json
US-Alabama	NAL_92_47	current_matched	True	20190525_160212_1024	PS2	1.0		1	2019-05-25T16:10:00	2019-05-25T16:02:12.132570+00:00	0.13	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Alabama/PS/NAL_92_47.tif	/workspace/_outputs/US-Alabama/NAL_92_47/20190525_160212_1024.tif	/workspace/_outputs/US-Alabama/NAL_92_47/20190525_160212_1024.manifest.json	/workspace/_outputs/US-Alabama/NAL_92_47/match_diagnostics.json
US-Arkansas	LIT_5_3	current_matched	True	20190601_162949_1024	PS2	1.0		1	2019-05-29T16:31:00	2019-06-01T16:29:49.287166+00:00	71.98	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Arkansas/PS/LIT_5_3.tif	/workspace/_outputs/US-Arkansas/LIT_5_3/20190601_162949_1024.tif	/workspace/_outputs/US-Arkansas/LIT_5_3/20190601_162949_1024.manifest.json	/workspace/_outputs/US-Arkansas/LIT_5_3/match_diagnostics.json
US-Carolina	FLO_40_23	best_unmatched_attempt	False	20180919_152007_100d	PS2	1.0		1	2018-09-19T15:28:00	2018-09-19T15:20:07.483168+00:00	0.131	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Carolina/PS/FLO_40_23.tif	/workspace/_outputs/US-Carolina/FLO_40_23/20180919_152007_100d.tif	/workspace/_outputs/US-Carolina/FLO_40_23/20180919_152007_100d.manifest.json	/workspace/_outputs/US-Carolina/FLO_40_23/match_diagnostics.json
US-Carolina	FLO_48_43	best_unmatched_attempt	False	20180919_152342_0e19	PS2	1.0		1	2018-09-19T15:28:00	2018-09-19T15:23:42.487861+00:00	0.072	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Carolina/PS/FLO_48_43.tif	/workspace/_outputs/US-Carolina/FLO_48_43/20180919_152342_0e19.tif	/workspace/_outputs/US-Carolina/FLO_48_43/20180919_152342_0e19.manifest.json	/workspace/_outputs/US-Carolina/FLO_48_43/match_diagnostics.json
US-Carolina	FLO_59_42	current_matched	True	20180919_152722_1039	PS2	1.0		1	2018-09-19T15:28:00	2018-09-19T15:27:22.391112+00:00	0.01	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Carolina/PS/FLO_59_42.tif	/workspace/_outputs/US-Carolina/FLO_59_42/20180919_152722_1039.tif	/workspace/_outputs/US-Carolina/FLO_59_42/20180919_152722_1039.manifest.json	/workspace/_outputs/US-Carolina/FLO_59_42/match_diagnostics.json
US-Carolina	FLO_88_23	current_matched	True	20180919_152330_1024	PS2	1.0		1	2018-09-19T15:28:00	2018-09-19T15:23:30.752775+00:00	0.075	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Carolina/PS/FLO_88_23.tif	/workspace/_outputs/US-Carolina/FLO_88_23/20180919_152330_1024.tif	/workspace/_outputs/US-Carolina/FLO_88_23/20180919_152330_1024.manifest.json	/workspace/_outputs/US-Carolina/FLO_88_23/match_diagnostics.json
